,Mes,Item_Commodity,CantidadPedida,CantidadRecibida,PrecioUnitario,Total
355,2018-05,7088,298.0,44.0,8.25872,2461.04
356,2018-05,7090,28.0,14.0,8.7295,244.42
357,2018-05,7092,392.0,14.0,6.65367925,2608.23
358,2018-05,7095,3.0,0.0,49.925,149.78
359,2018-05,7099,172.0,68.0,8.757463333333334,1409.47
360,2018-05,7107,1200.0,0.0,1.76697,2120.36
361,2018-05,7110,1.0,0.0,3119.5762,3119.58
362,2018-05,7112,1000.0,200.0,0.059133333333333336,58.16
363,2018-05,7116,800.0,0.0,1.319476125,1055.58
364,2018-05,7119,960.0,120.0,12.26172475,11771.28
365,2018-05,7121,180.0,60.0,1.6069733333333331,289.26
366,2018-05,7122,4620.0,980.0,0.3977120909090909,1870.24
367,2018-05,7123,1650.0,400.0,0.27,445.5
368,2018-05,7124,30.0,30.0,4.48,134.39999999999998
369,2018-05,7127,180.0,90.0,1.8955549999999999,341.2
370,2018-05,7128,90.0,60.0,2.09409,188.46
371,2018-05,7130,231.0,62.0,18.264954545454547,4167.24
372,2018-05,7133,390.0,150.0,0.19466466666666668,75.92
373,2018-05,7134,450.0,90.0,0.185124,74.07
374,2018-05,7135,98.0,44.0,4.660875,456.78000000000003
375,2018-05,7136,165.0,0.0,26.37459,4351.82
376,2018-05,7138,1540.0,168.0,7.0765952,10919.15
377,2018-05,7139,240.0,30.0,5.6652135,1359.62
378,2018-05,7140,480.0,30.0,2.9850536363636366,1430.57
379,2018-05,7142,1900.0,200.0,0.77585,1470.17
380,2018-05,7143,80.0,40.0,8.032914285714286,650.3199999999999
381,2018-05,7144,1.0,0.0,45.11,45.11
382,2018-05,7146,100.0,0.0,7.63,763.0
383,2018-05,7147,456.0,144.0,12.36998846153846,5640.72
384,2018-05,7148,170.0,90.0,54.6186475,9281.349999999999
385,2018-05,7155,240.0,0.0,1.759932,422.4
386,2018-05,7159,1080.0,960.0,0.4644325,524.34
387,2018-05,7160,12.0,0.0,37.39,448.68
388,2018-05,7161,3600.0,500.0,9.6060365,38136.869999999995
389,2018-05,7163,10.0,2.0,35.128,351.28
390,2018-05,7164,410.0,100.0,2.30516,958.09
391,2018-05,7166,12.0,0.0,26.27,315.24
392,2018-05,7168,1440.0,600.0,2.195141,3160.28
393,2018-05,7173,480.0,0.0,5.976022,2868.48
394,2018-05,7176,25.0,11.0,20.833333333333332,519.0
395,2018-05,7177,30.0,6.0,36.482142857142854,1094.97
396,2018-05,7178,3060.0,300.0,1.4175206153846154,4332.3099999999995
397,2018-05,7179,47.0,9.0,38.38415,1805.82
398,2018-05,7180,660.0,60.0,1.3694031111111111,904.96
399,2018-05,7182,3.0,0.0,45.16,135.48
400,2018-05,7183,26.0,0.0,22.464444666666665,530.0999999999999
401,2018-05,7184,126.0,35.0,18.92,2383.92
402,2018-05,7185,48.0,8.0,38.1869825,1832.99
403,2018-05,7187,84.0,0.0,5.127121,430.68
404,2018-05,7188,100.0,30.0,9.514822,951.4499999999999
405,2018-05,7190,4000.0,1600.0,1.192,4734.0
406,2018-05,7193,15.0,0.0,24.34,365.1
407,2018-05,7195,5600.0,2000.0,0.0528,295.68
408,2018-05,7196,1500.0,100.0,0.19486912499999998,292.28
409,2018-05,7200,720.0,270.0,0.144306,103.92
410,2018-05,7201,128.0,20.0,1.4141333333333332,176.41
411,2018-05,7204,650.0,200.0,0.33898225,220.35
412,2018-05,7205,80.0,40.0,1.236,100.1
413,2018-05,7206,24.0,4.0,1.6083333333333334,39.010000000000005
414,2018-05,7207,15.0,6.0,2.135664,32.04
415,2018-05,7208,162.0,46.0,13.0973325,2141.08
416,2018-05,7211,16.0,0.0,17.333168,277.32
417,2018-05,7213,95.0,8.0,3.570066666666667,325.12
418,2018-05,7216,33.0,15.0,23.58666666666667,817.8
419,2018-05,7217,67.0,19.0,20.714285714285715,1388.52
420,2018-05,7220,12.0,0.0,17.36,208.32
421,2018-05,7221,1700.0,700.0,1.2139507692307694,2228.99
422,2018-05,7222,189.0,0.0,23.563810222222223,4066.11
423,2018-05,7226,300.0,0.0,4.858437,1457.52
424,2018-05,7227,430.0,30.0,0.512,220.16000000000003
425,2018-05,7229,122.0,20.0,24.109522615384613,2941.37
426,2018-05,7236,60.0,30.0,21.838155,1310.29
427,2018-05,7239,268.0,50.0,88.7874005882353,23564.98
428,2018-05,7240,190.0,40.0,83.64542,15809.61
429,2018-05,7242,180.0,30.0,4.644314666666666,835.98
430,2018-05,7243,22.0,6.0,3.0,66.0
431,2018-05,7244,5480.0,780.0,0.31993499999999997,1431.5700000000002
432,2018-05,7245,24.0,8.0,13.736733333333333,329.69
433,2018-05,7247,2200.0,1300.0,0.14297800000000002,314.56
434,2018-05,7249,30.0,0.0,125.92400000000002,3777.7200000000003
435,2018-05,7251,45.0,0.0,17.67381,795.33
436,2018-05,7252,960.0,600.0,4.631975714285715,3775.94
437,2018-05,7255,400.0,0.0,2.368925,947.56
438,2018-05,7256,1875.0,175.0,1.7111750000000001,3202.3500000000004
439,2018-05,7258,1500.0,400.0,0.142,213.0
440,2018-05,7259,4500.0,1100.0,0.1,450.0
441,2018-05,7261,480.0,0.0,1.2006,576.28
442,2018-05,7263,2360.0,740.0,2.7544,6500.4
443,2018-05,7264,1503.0,503.0,0.5073924999999999,556.93
444,2018-05,7265,130.0,0.0,5.82296,756.99
445,2018-05,7266,1400.0,300.0,1.330034,1869.05
446,2018-05,7270,300.0,100.0,3.029719,908.9100000000001
447,2018-05,7271,47.0,3.0,7.535,354.15
448,2018-05,7273,39.0,21.0,6.159872,247.2
449,2018-05,7274,34.0,5.0,32.38896423076923,1090.06
450,2018-05,7276,320.0,100.0,2.34609575,687.2
451,2018-05,7283,92.0,8.0,11.304,1039.97
452,2018-05,7285,156.0,106.0,20.535836666666665,624.52
453,2018-05,7286,90.0,30.0,15.5,1395.0
454,2018-05,7287,330.0,110.0,19.0,6270.0
455,2018-05,7288,600.0,180.0,8.227608333333334,4906.89
456,2018-05,7291,1000.0,100.0,10.298948,10172.259999999998
457,2018-05,7296,55.0,6.0,23.39333333333333,1264.98
458,2018-05,7298,120.0,0.0,2.89322,347.18
459,2018-05,7300,1400.0,100.0,0.8577,1203.74
460,2018-05,7301,1560.0,396.0,2.80774,4256.16
461,2018-05,7304,210.0,60.0,6.149784,1291.45
462,2018-05,7309,12.0,12.0,37.488,449.86
463,2018-05,7310,78.0,12.0,37.21714285714285,3006.0
464,2018-05,7312,60.0,0.0,2.92433,175.46
465,2018-05,7316,2400.0,1000.0,0.13790991666666666,325.83
466,2018-05,7318,6440.0,1400.0,0.149401,962.15
467,2018-05,7319,356.0,180.0,2.5432474999999997,899.5199999999999
